Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-09,Monthly,115000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.821,1.123
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.812,1.08
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.761,1.185
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.726,1.521
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.5,1.405
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.456,1.182
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.232,1.276
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.176,0.573
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.148,0.439
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.142,5.13
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.115,2.289
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.1,1.677
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.058,1.567
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.055,0.388
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.055,2.158
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.051,0.961
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.036,1.839
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Classic Art,"{'name': 'Classic Art', 'id': '945388101422'}",0.023,
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.02,1.081
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Sculpture,"{'name': 'Sculpture', 'id': '952015364871'}",0.01,
Art,"{'name': 'Art', 'id': '961238559656'}",0.777,1.158,Printmaking,"{'name': 'Printmaking', 'id': '954733409177'}",0.01,
