Audience View,Date,Aggregation,Audience Size
Your total audience,2026-04-21,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.893,1.275
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.855,1.697
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.832,0.946
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.705,1.901
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.677,2.125
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.565,1.561
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.508,2.453
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.452,1.704
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.401,1.08
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Door,"{'name': 'Door', 'id': '936029585073'}",0.289,3.429
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.228,3.212
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.08,2.903
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.072,1.76
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.07,2.476
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.809,1.205,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.037,1.79
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.77,1.055
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.762,1.19
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.752,1.0
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.648,1.362
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.386,1.084
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.382,0.993
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.195,0.636
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.174,0.954
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.161,0.477
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.128,4.615
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.091,1.814
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.085,1.432
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.072,1.954
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.066,2.583
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.063,0.441
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.042,0.779
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.027,1.39
Art,"{'name': 'Art', 'id': '961238559656'}",0.803,1.162,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.019,1.004
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.28,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.554,0.839
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.28,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.489,1.388
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.28,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.325,1.837
Design,"{'name': 'Design', 'id': '902065567321'}",0.778,1.28,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.072,1.802
Education,"{'name': 'Education', 'id': '922134410098'}",0.772,1.261,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.974,1.045
Education,"{'name': 'Education', 'id': '922134410098'}",0.772,1.261,Career,"{'name': 'Career', 'id': '941720221932'}",0.215,1.621
Education,"{'name': 'Education', 'id': '922134410098'}",0.772,1.261,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.146,0.885
Education,"{'name': 'Education', 'id': '922134410098'}",0.772,1.261,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.146,0.824
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.712,0.946
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.635,0.823
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.633,0.853
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.445,1.039
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Music,"{'name': 'Music', 'id': '936111947007'}",0.365,0.758
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.352,0.831
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.77,1.152,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.153,0.865
