Audience View,Date,Aggregation,Audience Size
Your total audience,2026-05-10,Monthly,38000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.876,1.248
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.863,1.707
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.816,0.927
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.704,1.892
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.676,2.113
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.557,2.692
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.547,1.506
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.405,1.523
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.403,1.082
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Door,"{'name': 'Door', 'id': '936029585073'}",0.339,4.016
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.279,3.941
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.104,3.751
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.085,2.992
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.814,1.221,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.083,2.04
