Audience View,Date,Aggregation,Audience Size
Your total audience,2026-04-28,Monthly,15000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.882,1.258
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.871,1.727
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.796,0.904
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.694,1.87
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.68,2.131
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.586,2.83
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.551,1.52
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.401,1.078
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.385,1.451
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Door,"{'name': 'Door', 'id': '936029585073'}",0.35,4.152
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.3,4.233
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.106,3.825
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.088,3.111
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.087,2.137
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.042,2.019
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.019,1.43
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.817,1.218,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.012,
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.777,1.033
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.773,1.059
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.75,1.17
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.673,1.414
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.401,1.127
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.398,1.034
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.205,7.415
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.2,1.098
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.165,0.536
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.134,0.396
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.097,1.926
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.077,1.301
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.06,1.613
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.057,0.398
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.056,2.207
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.042,0.787
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.028,1.423
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Classic Art,"{'name': 'Classic Art', 'id': '945388101422'}",0.019,
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.018,0.966
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Printmaking,"{'name': 'Printmaking', 'id': '954733409177'}",0.012,
Art,"{'name': 'Art', 'id': '961238559656'}",0.809,1.172,Sculpture,"{'name': 'Sculpture', 'id': '952015364871'}",0.01,
Design,"{'name': 'Design', 'id': '902065567321'}",0.776,1.278,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.525,1.49
Design,"{'name': 'Design', 'id': '902065567321'}",0.776,1.278,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.466,0.705
Design,"{'name': 'Design', 'id': '902065567321'}",0.776,1.278,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.301,1.7
Design,"{'name': 'Design', 'id': '902065567321'}",0.776,1.278,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.059,1.479
Education,"{'name': 'Education', 'id': '922134410098'}",0.773,1.265,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.974,1.044
Education,"{'name': 'Education', 'id': '922134410098'}",0.773,1.265,Career,"{'name': 'Career', 'id': '941720221932'}",0.22,1.662
Education,"{'name': 'Education', 'id': '922134410098'}",0.773,1.265,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.125,0.756
Education,"{'name': 'Education', 'id': '922134410098'}",0.773,1.265,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.121,0.678
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.667,0.886
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.648,0.84
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.631,0.849
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.516,1.205
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.356,0.841
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Music,"{'name': 'Music', 'id': '936111947007'}",0.352,0.731
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.15,0.848
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Book,"{'name': 'Book', 'id': '908410600882'}",0.098,0.571
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.769,1.153,Theater,"{'name': 'Theater', 'id': '905051048835'}",0.043,2.388
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.54,1.019
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.504,4.571
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,Fabric Crafts,"{'name': 'Fabric Crafts', 'id': '909430966917'}",0.442,0.762
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.199,1.281
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.146,0.601
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.101,1.683
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.099,0.505
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.092,0.838
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.092,1.716
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.074,1.676
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Edible,"{'name': 'DIY Edible', 'id': '896201377663'}",0.054,1.269
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,DIY Jewelry,"{'name': 'DIY Jewelry', 'id': '905972712093'}",0.019,0.406
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.745,1.325,Beading,"{'name': 'Beading', 'id': '916525081982'}",0.011,0.509
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.578,2.577
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.566,1.739
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.518,0.781
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.356,1.857
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Educational Architecture,"{'name': 'Educational Architecture', 'id': '916646672676'}",0.102,3.628
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.716,2.157,Cultural Architecture,"{'name': 'Cultural Architecture', 'id': '933965241695'}",0.031,
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.708,1.388,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.955,1.017
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.708,1.388,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.616,1.169
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.708,1.388,Travel Tips,"{'name': 'Travel Tips', 'id': '950689877411'}",0.069,1.739
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.708,1.388,Restaurant,"{'name': 'Restaurant', 'id': '945959299598'}",0.033,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.579,2.41
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.551,1.265
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.205,4.679
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.18,0.918
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.179,0.62
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Auto Racing,"{'name': 'Auto Racing', 'id': '914336245852'}",0.048,2.767
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Hockey,"{'name': 'Hockey', 'id': '949737144218'}",0.042,3.214
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Running,"{'name': 'Running', 'id': '909056984342'}",0.038,1.032
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Water Sport,"{'name': 'Water Sport', 'id': '901265699631'}",0.031,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.704,1.546,Golf,"{'name': 'Golf', 'id': '918611471680'}",0.028,
