Audience View,Date,Aggregation,Audience Size
Your total audience,2026-05-22,Monthly,66000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.855,1.219
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.839,1.659
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.833,0.946
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.686,1.844
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.636,1.986
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.517,1.423
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.512,2.473
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.398,1.495
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.38,1.022
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Door,"{'name': 'Door', 'id': '936029585073'}",0.317,3.753
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.248,3.512
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.095,3.442
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.078,2.764
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.078,1.928
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.039,1.898
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.02,1.562
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.015,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.801,1.212,Ceiling,"{'name': 'Ceiling', 'id': '924783655335'}",0.01,
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.801,1.096
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.79,1.052
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.762,1.189
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.705,1.479
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.446,1.253
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.415,1.076
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.217,1.194
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.181,0.588
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.17,6.17
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.148,0.44
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.111,2.214
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.101,1.704
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.066,1.772
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.059,0.417
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.057,2.248
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.051,0.949
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.031,1.624
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Classic Art,"{'name': 'Classic Art', 'id': '945388101422'}",0.021,
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.018,0.976
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Sculpture,"{'name': 'Sculpture', 'id': '952015364871'}",0.012,
Art,"{'name': 'Art', 'id': '961238559656'}",0.799,1.174,Printmaking,"{'name': 'Printmaking', 'id': '954733409177'}",0.012,
Design,"{'name': 'Design', 'id': '902065567321'}",0.766,1.279,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.55,1.56
Design,"{'name': 'Design', 'id': '902065567321'}",0.766,1.279,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.512,0.775
Design,"{'name': 'Design', 'id': '902065567321'}",0.766,1.279,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.348,1.962
Design,"{'name': 'Design', 'id': '902065567321'}",0.766,1.279,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.079,1.972
Education,"{'name': 'Education', 'id': '922134410098'}",0.765,1.269,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.977,1.048
