Audience View,Date,Aggregation,Audience Size
Your total audience,2026-05-30,Monthly,84000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.818,1.119
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.804,1.069
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.765,1.192
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.723,1.515
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.479,1.345
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.44,1.141
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.225,1.241
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.182,0.591
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.15,0.445
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.147,5.318
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.117,2.337
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.105,1.761
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.063,1.705
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.058,0.406
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.056,2.188
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.052,0.975
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.034,1.75
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Classic Art,"{'name': 'Classic Art', 'id': '945388101422'}",0.023,
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Rock Art,"{'name': 'Rock Art', 'id': '961032393371'}",0.02,1.044
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Sculpture,"{'name': 'Sculpture', 'id': '952015364871'}",0.011,
Art,"{'name': 'Art', 'id': '961238559656'}",0.788,1.164,Printmaking,"{'name': 'Printmaking', 'id': '954733409177'}",0.011,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.851,0.967
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.825,1.175
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.805,1.59
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.656,1.762
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.584,1.825
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.477,1.313
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.462,2.237
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.385,1.447
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.349,0.939
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Door,"{'name': 'Door', 'id': '936029585073'}",0.29,3.449
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.214,3.038
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.086,3.148
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.074,1.82
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.072,2.555
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.036,1.753
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.019,1.495
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.785,1.194,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.017,
Education,"{'name': 'Education', 'id': '922134410098'}",0.755,1.258,Subjects,"{'name': 'Subjects', 'id': '955838913612'}",0.978,1.049
Education,"{'name': 'Education', 'id': '922134410098'}",0.755,1.258,Career,"{'name': 'Career', 'id': '941720221932'}",0.209,1.581
Education,"{'name': 'Education', 'id': '922134410098'}",0.755,1.258,Teacher Resources,"{'name': 'Teacher Resources', 'id': '920023336761'}",0.123,0.691
Education,"{'name': 'Education', 'id': '922134410098'}",0.755,1.258,Education Level,"{'name': 'Education Level', 'id': '953977921048'}",0.12,0.724
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Movie,"{'name': 'Movie', 'id': '960342948658'}",0.733,0.973
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Comics,"{'name': 'Comics', 'id': '930494031304'}",0.693,0.933
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Humor,"{'name': 'Humor', 'id': '898037969690'}",0.653,0.845
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Gaming,"{'name': 'Gaming', 'id': '919269892222'}",0.513,1.199
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Music,"{'name': 'Music', 'id': '936111947007'}",0.388,0.806
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Celebrities,"{'name': 'Celebrities', 'id': '911373384406'}",0.384,0.906
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,TV Show,"{'name': 'TV Show', 'id': '908565964114'}",0.183,1.035
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Book,"{'name': 'Book', 'id': '908410600882'}",0.123,0.716
Entertainment,"{'name': 'Entertainment', 'id': '953061268473'}",0.752,1.149,Theater,"{'name': 'Theater', 'id': '905051048835'}",0.041,2.28
Design,"{'name': 'Design', 'id': '902065567321'}",0.749,1.258,Logo and Identity Design,"{'name': 'Logo and Identity Design', 'id': '909466174311'}",0.545,1.548
Design,"{'name': 'Design', 'id': '902065567321'}",0.749,1.258,Web and App Design,"{'name': 'Web and App Design', 'id': '939992763802'}",0.53,0.801
Design,"{'name': 'Design', 'id': '902065567321'}",0.749,1.258,Business and Advertising Design,"{'name': 'Business and Advertising Design', 'id': '897856923844'}",0.348,1.965
Design,"{'name': 'Design', 'id': '902065567321'}",0.749,1.258,Book and Magazine Design,"{'name': 'Book and Magazine Design', 'id': '902581337527'}",0.079,1.992
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.688,1.373,Travel Destinations,"{'name': 'Travel Destinations', 'id': '958862518888'}",0.964,1.027
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.688,1.373,Travel Ideas,"{'name': 'Travel Ideas', 'id': '904309328219'}",0.623,1.179
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.688,1.373,Travel Tips,"{'name': 'Travel Tips', 'id': '950689877411'}",0.072,1.819
Travel,"{'name': 'Travel', 'id': '908182459161'}",0.688,1.373,Restaurant,"{'name': 'Restaurant', 'id': '945959299598'}",0.029,
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Projects,"{'name': 'DIY Projects', 'id': '894309586150'}",0.525,0.991
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,Fabric Crafts,"{'name': 'Fabric Crafts', 'id': '909430966917'}",0.46,0.79
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,Woodworking,"{'name': 'Woodworking', 'id': '899049071324'}",0.415,3.781
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Techniques and Supplies,"{'name': 'DIY Techniques and Supplies', 'id': '911900736333'}",0.183,1.178
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Stationery,"{'name': 'DIY Stationery', 'id': '902014579881'}",0.161,0.663
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Bag and Purse,"{'name': 'DIY Bag and Purse', 'id': '954200326838'}",0.101,1.669
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Pottery,"{'name': 'DIY Pottery', 'id': '929616292607'}",0.1,1.867
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Event,"{'name': 'DIY Event', 'id': '922120925682'}",0.096,0.492
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Home and Decorations,"{'name': 'DIY Home and Decorations', 'id': '947657535178'}",0.089,0.808
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,Polymer Crafts,"{'name': 'Polymer Crafts', 'id': '946907157789'}",0.079,1.768
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Edible,"{'name': 'DIY Edible', 'id': '896201377663'}",0.051,1.189
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,DIY Jewelry,"{'name': 'DIY Jewelry', 'id': '905972712093'}",0.022,0.47
DIY and Crafts,"{'name': 'DIY and Crafts', 'id': '934876475639'}",0.682,1.237,Beading,"{'name': 'Beading', 'id': '916525081982'}",0.013,0.576
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Fitness and Exercises,"{'name': 'Fitness and Exercises', 'id': '912503731943'}",0.52,1.192
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Outdoor Sport,"{'name': 'Outdoor Sport', 'id': '899504507492'}",0.506,2.109
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Soccer,"{'name': 'Soccer', 'id': '916147467802'}",0.222,1.135
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.184,0.638
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.174,3.988
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Auto Racing,"{'name': 'Auto Racing', 'id': '914336245852'}",0.052,3.066
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Hockey,"{'name': 'Hockey', 'id': '949737144218'}",0.048,3.658
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Running,"{'name': 'Running', 'id': '909056984342'}",0.044,1.184
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Martial Arts,"{'name': 'Martial Arts', 'id': '957769245264'}",0.03,1.243
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,Volleyball,"{'name': 'Volleyball', 'id': '935508392210'}",0.026,0.603
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.661,1.478,American Football,"{'name': 'American Football', 'id': '893600890503'}",0.026,0.816
