Audience View,Date,Aggregation,Audience Size
Your total audience,2026-05-18,Monthly,56000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.862,1.228
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.847,1.676
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.828,0.94
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.694,1.866
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.65,2.03
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.528,1.453
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.524,2.53
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.404,1.517
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.389,1.047
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Door,"{'name': 'Door', 'id': '936029585073'}",0.322,3.82
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.255,3.601
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.097,3.517
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.08,2.835
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.079,1.947
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.039,1.907
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.021,1.618
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.016,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.808,1.218,Ceiling,"{'name': 'Ceiling', 'id': '924783655335'}",0.01,
