Audience View,Date,Aggregation,Audience Size
Your total audience,2026-04-22,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.878,1.253
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.848,1.683
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.835,0.949
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.696,1.877
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.669,2.1
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.559,1.545
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.512,2.476
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.446,1.68
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.392,1.055
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Door,"{'name': 'Door', 'id': '936029585073'}",0.288,3.416
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.229,3.232
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.08,2.877
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.074,1.826
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.073,2.583
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.036,1.75
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.816,1.215,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.018,1.338
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.778,1.066
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.763,1.191
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.754,1.003
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.659,1.385
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.402,1.128
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.396,1.03
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.198,0.643
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.183,1.008
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.161,0.478
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.126,4.545
Art,"{'name': 'Art', 'id': '961238559656'}",0.81,1.173,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.094,1.861
