Audience View,Date,Aggregation,Audience Size
Your total audience,2026-05-08,Monthly,35000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Room Decor,"{'name': 'Room Decor', 'id': '916836567854'}",0.878,1.252
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Home Decor Style,"{'name': 'Home Decor Style', 'id': '932406387708'}",0.865,1.713
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Wall,"{'name': 'Wall', 'id': '897028410084'}",0.813,0.923
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Lighting,"{'name': 'Lighting', 'id': '898155178413'}",0.705,1.897
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Furniture,"{'name': 'Furniture', 'id': '936760250909'}",0.682,2.134
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Home Maintenance,"{'name': 'Home Maintenance', 'id': '951174617998'}",0.565,2.733
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Storage and Organization,"{'name': 'Storage and Organization', 'id': '896864884493'}",0.553,1.523
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Flooring,"{'name': 'Flooring', 'id': '951285123313'}",0.405,1.524
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Home Accessories,"{'name': 'Home Accessories', 'id': '946284018351'}",0.405,1.089
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Door,"{'name': 'Door', 'id': '936029585073'}",0.345,4.085
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Exterior,"{'name': 'Exterior', 'id': '929735873274'}",0.285,4.032
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Entrance,"{'name': 'Entrance', 'id': '897843420737'}",0.107,3.85
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Stairs,"{'name': 'Stairs', 'id': '896462765850'}",0.087,3.057
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Remodel,"{'name': 'Remodel', 'id': '953913251789'}",0.084,2.075
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Window Treatment,"{'name': 'Window Treatment', 'id': '933856972886'}",0.04,1.936
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Home Decor Tips,"{'name': 'Home Decor Tips', 'id': '929733042390'}",0.021,1.616
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Home Painting,"{'name': 'Home Painting', 'id': '952051896726'}",0.014,
Home Decor,"{'name': 'Home Decor', 'id': '935249274030'}",0.815,1.221,Ceiling,"{'name': 'Ceiling', 'id': '924783655335'}",0.01,
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Drawing,"{'name': 'Drawing', 'id': '918644201389'}",0.779,1.067
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Photography,"{'name': 'Photography', 'id': '905860166503'}",0.774,1.029
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Painting,"{'name': 'Painting', 'id': '938071044570'}",0.755,1.178
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Street Art,"{'name': 'Street Art', 'id': '946028385883'}",0.68,1.426
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Illustration,"{'name': 'Illustration', 'id': '907002707958'}",0.409,1.148
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Body Art,"{'name': 'Body Art', 'id': '909337506117'}",0.393,1.02
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Digital Art,"{'name': 'Digital Art', 'id': '954299039771'}",0.203,1.12
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Metal Art,"{'name': 'Metal Art', 'id': '919147346069'}",0.195,7.053
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Art Supplies,"{'name': 'Art Supplies', 'id': '916574447637'}",0.176,0.572
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Art Tutorial,"{'name': 'Art Tutorial', 'id': '908625431820'}",0.142,0.421
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Poster Design,"{'name': 'Poster Design', 'id': '947703397050'}",0.099,1.978
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Fonts and Calligraphy,"{'name': 'Fonts and Calligraphy', 'id': '933547141847'}",0.088,1.485
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Ceramic Art,"{'name': 'Ceramic Art', 'id': '956459048577'}",0.066,1.792
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Mosaic,"{'name': 'Mosaic', 'id': '925648604365'}",0.06,2.353
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Fashion Design,"{'name': 'Fashion Design', 'id': '958595335486'}",0.059,0.413
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Mixed Media Art,"{'name': 'Mixed Media Art', 'id': '914370454096'}",0.046,0.86
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Contemporary Art,"{'name': 'Contemporary Art', 'id': '954939770857'}",0.028,1.42
Art,"{'name': 'Art', 'id': '961238559656'}",0.808,1.176,Classic Art,"{'name': 'Classic Art', 'id': '945388101422'}",0.02,
